id	nev	kezdeseve	vegzeseve
3973	Hujber Helga	2017	2021
3974	Tóth Gabriella	2015	2019
3975	Szilágyi Patrik	2008	2012
3976	Töreki Krisztina	2020	NULL
3977	Szilágyi Ferenc	2005	2009
3978	Elek Alajos	2012	2016
3979	Hujber Bence	2011	2015
3980	Vámos Fanni	2001	2005
3981	Balogh Rozi	2001	2005
3982	Kocsis János	2007	2011
3983	Varga Alexandra	2001	2005
3984	Ötvös Roland	2019	2023
3985	Farkas Albert	2012	2016
3986	Mészáros Alajos	2007	2011
3987	Varga Viktória	2009	2013
3988	Kocsis Anna	2003	2007
3989	Kovács Aladár	2004	2008
3990	Nagy Mariann	2006	2010
3991	Hujber István	2011	2015
3992	Elek András	2020	NULL
3993	Varga Gergely	2011	2015
3994	Sípos Viktória	2017	2021
3995	Tóth Lili	2020	NULL
3996	Gál Kálmán	2010	2014
3997	Pataki András	2017	2021
3998	Balogh Béla	2001	2005
3999	Kiss Ilonka	2004	2008
4000	Vámos Lajos	2008	2012
